Mission / Project,,,,,,,,,,,,,
 Identifier: TEL2024-880,,,,,,,,,,,,,
 Name: Spring AZMP ,,,,,,,,,,,,,
 Operator: P. Thamer,,,,,,,,,,,,,
 Research centre: BIO,,,,,,,,,,,,,
 Dates: Apr 10 -May 1,,,,,,,,,,,,,
 Platform: CCGS Teleost,,,,,,,,,,,,,
 Equation : DO2 = ((Titrant_volume - Blank_mean) * 559.8) / ((Standard_mean - Blank_mean) * (Bottle_volume-2)) - 0.018,,,,,,,,,,,,,
Sample,Bottle#,O2_Concentration(ml/l),O2_Uncertainty(ml/l),Titrant_volume(ml),Titrant_uncertainty(ml),Analysis_date,Data_file,Standards(ml),Blanks(ml),Bottle_volume(ml),Initial_transmittance(%%),Standard_transmittance0(%%),Comments
503036_1,5158,7.814,0.007,3.926,0.005,4/11/2024 16:08,503036_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,141.607,0,0,
503042_1,5113,8.496,0.006,4.278,0.004,4/11/2024 16:21,503042_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,141.935,0,0,
503042_2,5032,8.49,0.006,4.244,0.004,4/11/2024 16:28,503042_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,140.911,0,0,
503046_1,5115,5.452,0.007,2.784,0.003,4/11/2024 16:35,503046_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,143.66,0,0,
503046_2,5072,5.459,0.007,2.571,0.001,4/11/2024 16:45,503046_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,132.668,0,0,
503054_1,5114,8.711,0.007,4.251,0.006,4/11/2024 16:52,503054_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,137.648,0,0,
503002_1,5055,8.561,0.006,4.224,0.002,4/11/2024 17:28,503002_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,139.13,0,0,
503057_1,5152,4.169,0.008,2.152,0.002,4/12/2024 6:07,503057_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,145.021,0,0,
503057_2,5090,4.196,0.008,2.078,0.003,4/12/2024 6:15,503057_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,139.196,0,0,
503066_1,141,7.68,0.007,3.734,0.004,4/12/2024 6:23,503066_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,137.06,0,0,
503069_1,5114,4.055,0.008,1.986,0.003,4/12/2024 6:30,503069_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,137.648,0,0,
503077_1,5055,7.589,0.006,3.746,0.002,4/12/2024 7:57,503077_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,139.13,0,0,
503077_2,114,7.587,0.006,3.792,0.002,4/12/2024 8:15,503077_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,140.84,0,0,
503080_1,5072,6.106,0.007,2.874,0.003,4/12/2024 8:21,503080_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,132.668,0,0,
503080_2,5032,6.08,0.007,3.043,0.003,4/12/2024 8:30,503080_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,140.911,0,0,
503086_1,5158,7.537,0.007,3.787,0.006,4/12/2024 8:37,503086_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,141.607,0,0,
503089_1,138,6.144,0.007,3.023,0.003,4/12/2024 9:48,503089_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,138.598,0,0,
503096_1,5,7.94,0.007,3.954,0.003,4/12/2024 9:56,503096_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,140.354,0,0,
503096_2,5045,7.937,0.007,3.787,0.004,4/12/2024 10:03,503096_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,134.563,0,0,
503099_1,183,4.418,0.008,2.241,0.003,4/12/2024 12:00,503099_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,142.579,0,0,
503099_2,5156,4.421,0.008,2.124,0.003,4/12/2024 12:40,503099_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,135.136,0,0,
503100_1,5058,4.807,0.015,2.413,0.028,4/12/2024 12:47,503100_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,141.152,0,0,Titration problem or stopped by hand. Oxygen concentation recalculated on 2024-04-12 12:50:11. Titrant volume and oxygen concentration recalculated on 2024-04-12 12:51:09.
503108_1,1,8.063,0.006,4.066,0.002,4/12/2024 12:54,503108_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,142.109,0,0,
503111_1,5113,6.096,0.008,3.073,0.005,4/12/2024 13:03,503111_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,141.935,0,0,
503112_1,5115,6.015,0.007,3.07,0.003,4/12/2024 13:11,503112_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,143.66,0,0,
503113_1,5134,5.971,0.008,2.966,0.005,4/12/2024 13:19,503113_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,139.879,0,0,
503114_1,5188,5.8,0.007,2.855,0.003,4/12/2024 13:26,503114_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,138.618,0,0,
503115_1,5090,4.804,0.009,2.377,0.005,4/12/2024 13:34,503115_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,139.196,0,0,
503116_1,5152,4.84,0.008,2.496,0.004,4/12/2024 13:42,503116_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,145.021,0,0,
503121_1,5015,7.971,0.006,3.859,0.003,4/12/2024 13:50,503121_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,136.492,0,0,
503125_1,5025,8.164,0.006,4.235,0.004,4/12/2024 13:58,503125_1.tod,2.011 2.010 2.015,0.006 0.001 0.004,146.16,0,0,
503125_2,5066,8.175,0.006,3.85,0.003,4/12/2024 14:07,503125_2.tod,2.011 2.010 2.015,0.006 0.001 0.004,132.839,0,0,
503128_1,5114,6.2,0.008,3.033,0.002,4/13/2024 7:35,503128_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,137.648,0,0,
503129_1,5055,6.169,0.008,3.05,0.001,4/13/2024 8:48,503129_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,139.13,0,0,
503130_1,5,6.034,0.009,3.011,0.004,4/13/2024 8:55,503130_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.354,0,0,
503131_1,5158,5.779,0.011,2.91,0.008,4/13/2024 9:02,503131_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.607,0,0,
503132_1,138,5.146,0.01,2.537,0.004,4/13/2024 9:07,503132_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.598,0,0,
503133_1,114,5.356,0.009,2.683,0.004,4/13/2024 9:14,503133_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.84,0,0,
503138_1,5072,7.603,0.005,3.58,0.011,4/13/2024 9:22,503138_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,bubbles Titrant volume and oxygen concentration recalculated on 2024-04-13 09:30:20.
503142_1,5032,8.367,0.008,4.186,0.003,4/13/2024 9:32,503142_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503145_1,5058,6.168,0.008,3.094,0.003,4/13/2024 9:41,503145_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.152,0,0,
503146_1,5156,6.142,0.009,2.949,0.004,4/13/2024 9:48,503146_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,135.136,0,0,
503147_1,5015,5.967,0.009,2.894,0.003,4/13/2024 9:55,503147_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.492,0,0,
503148_1,5025,5.41,0.008,2.813,0.001,4/13/2024 10:03,503148_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,146.16,0,0,
503149_1,5066,4.963,0.01,2.344,0.005,4/13/2024 10:10,503149_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.839,0,0,
503150_1,5152,5.537,0.004,2.857,0.007,4/13/2024 12:07,503150_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,145.021,0,0,Titrant volume and oxygen concentration recalculated on 2024-04-13 12:11:35.
503155_1,5090,8.002,0.008,3.954,0.004,4/13/2024 12:13,503155_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,139.196,0,0,
503159_1,5004,8.421,0.008,4.262,0.003,4/13/2024 12:20,503159_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,142.553,0,0,
503159_2,5027,8.794,0.008,4.422,0.004,4/13/2024 12:30,503159_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503163_1,5188,6.053,0.009,2.982,0.004,4/13/2024 12:37,503163_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.618,0,0,
503165_1,131,5.1,0.01,2.484,0.003,4/13/2024 12:44,503165_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.956,0,0,
503166_1,5018,5.292,0.011,2.615,0.007,4/13/2024 12:51,503166_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503175_1,5113,8.287,0.008,4.176,0.005,4/13/2024 12:58,503175_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.935,0,0,
503003_1,141,8.041,0.009,3.912,0.005,4/13/2024 13:07,503003_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,137.06,0,0,
503178_1,5027,7.746,0.008,3.897,0.002,4/14/2024 6:08,503178_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503178_2,5018,7.386,0.008,3.644,0.003,4/14/2024 6:16,503178_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503183_1,5113,7.498,0.008,3.78,0.003,4/14/2024 6:24,503183_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.935,0,0,
503186_1,131,6.904,0.009,3.358,0.003,4/14/2024 9:31,503186_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.956,0,0,
503194_1,5188,7.338,0.009,3.612,0.005,4/14/2024 9:39,503194_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.618,0,0,
503194_2,141,7.344,0.008,3.574,0.003,4/14/2024 9:47,503194_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,137.06,0,0,
503197_1,5027,5.131,0.009,2.586,0.002,4/14/2024 12:56,503197_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503197_2,5113,4.877,0.009,2.464,0.002,4/14/2024 13:04,503197_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.935,0,0,
503206_1,5018,7.277,0.008,3.59,0.004,4/14/2024 13:12,503206_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503209_1,5004,4.016,0.01,2.04,0.003,4/14/2024 16:47,503209_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,142.553,0,0,
503218_1,141,7.303,0.008,3.554,0.003,4/14/2024 16:53,503218_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,137.06,0,0,
503218_2,5188,7.306,0.009,3.596,0.004,4/14/2024 17:00,503218_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.618,0,0,
503004_1,5113,7.269,0.009,3.665,0.006,4/14/2024 17:06,503004_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.935,0,0,
503221_1,5027,4.106,0.011,2.073,0.004,4/14/2024 21:00,503221_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503221_2,131,3.893,0.01,1.9,0.002,4/14/2024 21:08,503221_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.956,0,0,
503230_1,5018,7.184,0.009,3.544,0.004,4/14/2024 21:15,503230_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503233_1,5058,6.201,0.009,3.111,0.005,4/15/2024 0:16,503233_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.152,0,0,
503241_1,5032,7.112,0.008,3.56,0.003,4/15/2024 0:24,503241_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503241_2,5072,7.104,0.009,3.345,0.004,4/15/2024 0:33,503241_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,
503244_1,138,4.639,0.01,2.288,0.004,4/15/2024 3:02,503244_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.598,0,0,
503244_2,114,4.663,0.01,2.338,0.003,4/15/2024 3:09,503244_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.84,0,0,
503252_1,5158,7.3,0.008,3.672,0.002,4/15/2024 3:15,503252_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.607,0,0,
503255_1,5018,4.25,0.011,2.103,0.005,4/15/2024 5:35,503255_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503263_1,5027,7.598,0.008,3.823,0.002,4/15/2024 5:42,503263_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503263_2,131,7.25,0.008,3.526,0.002,4/15/2024 5:50,503263_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.956,0,0,
503272_1,5032,7.202,0.008,3.605,0.003,4/15/2024 5:58,503272_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503266_1,5072,6.143,0.009,2.895,0.003,4/15/2024 6:06,503266_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,
503266_2,5156,6.137,0.009,2.946,0.004,4/15/2024 6:13,503266_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,135.136,0,0,
503275_1,5158,5.963,0.009,3.002,0.003,4/15/2024 8:03,503275_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.607,0,0,
503282_1,5015,7.191,0.008,3.485,0.003,4/15/2024 8:11,503282_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.492,0,0,
503282_2,5025,7.203,0.009,3.741,0.005,4/15/2024 8:19,503282_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,146.16,0,0,
503285_1,5032,4.664,0.011,2.339,0.006,4/15/2024 10:05,503285_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503285_2,5156,4.641,0.01,2.232,0.002,4/15/2024 10:12,503285_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,135.136,0,0,
503293_1,5072,7.217,0.009,3.398,0.005,4/15/2024 10:20,503293_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,
503296_1,5158,4.561,0.01,2.299,0.003,4/15/2024 13:59,503296_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.607,0,0,
503304_1,5015,7.266,0.008,3.521,0.002,4/15/2024 14:06,503304_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.492,0,0,
503304_2,5025,7.263,0.008,3.773,0.003,4/15/2024 14:12,503304_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,146.16,0,0,
503005_1,5004,7.225,0.008,3.659,0.004,4/15/2024 16:03,503005_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,142.553,0,0,
503307_1,5032,4.595,0.01,2.305,0.004,4/15/2024 16:11,503307_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503307_2,5072,4.604,0.011,2.173,0.005,4/15/2024 16:18,503307_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,
503316_1,5156,7.257,0.009,3.482,0.004,4/15/2024 16:25,503316_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,135.136,0,0,
503319_1,5018,4.297,0.012,2.126,0.006,4/15/2024 18:26,503319_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503328_1,114,7.313,0.008,3.658,0.004,4/15/2024 18:33,503328_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.84,0,0,
503328_2,138,7.32,0.008,3.603,0.003,4/15/2024 18:41,503328_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.598,0,0,
503331_1,5156,4.564,0.01,2.195,0.003,4/15/2024 21:36,503331_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,135.136,0,0,
503331_2,5025,4.637,0.012,2.414,0.024,4/15/2024 21:43,503331_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,146.16,0,0,Titration problem or stopped by hand. Titrant volume and oxygen concentration recalculated on 2024-04-16 07:26:37.
503339_1,5072,7.338,0.008,3.455,0.003,4/15/2024 21:48,503339_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,132.668,0,0,
503342_1,5018,4.848,0.009,2.396,0.003,4/16/2024 0:26,503342_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503351_1,114,7.299,0.009,3.651,0.005,4/16/2024 0:33,503351_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.84,0,0,
503351_2,138,7.29,0.009,3.588,0.005,4/16/2024 0:42,503351_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.598,0,0,
503354_1,5188,4.624,0.012,2.281,0.008,4/16/2024 3:48,503354_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.618,0,0,
503354_2,5152,4.58,0.01,2.365,0.003,4/16/2024 3:54,503354_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,145.021,0,0,
503355_1,5055,4.558,0.01,2.257,0.003,4/16/2024 4:01,503355_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,139.13,0,0,
503364_1,5032,7.336,0.008,3.672,0.004,4/16/2024 4:07,503364_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503367_1,5018,4.538,0.01,2.244,0.003,4/16/2024 7:31,503367_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,138.916,0,0,
503368_1,5015,4.467,0.011,2.17,0.005,4/16/2024 7:38,503368_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.492,0,0,
503377_1,5027,7.721,0.008,3.884,0.002,4/16/2024 7:46,503377_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,141.663,0,0,
503377_2,5004,7.386,0.008,3.74,0.003,4/16/2024 7:55,503377_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,142.553,0,0,
503380_1,5152,4.905,0.011,2.532,0.007,4/16/2024 10:36,503380_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,145.021,0,0,
503380_2,131,4.895,0.01,2.385,0.003,4/16/2024 10:43,503380_2.tod,2.015 2.012 2.016,0.005 0.006 0.004,136.956,0,0,
503381_1,5055,4.885,0.01,2.418,0.003,4/16/2024 10:51,503381_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,139.13,0,0,
503390_1,5032,7.761,0.009,3.884,0.006,4/16/2024 10:59,503390_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.911,0,0,
503006_1,114,7.843,0.008,3.922,0.004,4/16/2024 13:30,503006_1.tod,2.015 2.012 2.016,0.005 0.006 0.004,140.84,0,0,
503394_1,5018,4.85,0.01,2.401,0.005,4/18/2024 6:56,503394_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.916,0,0,
503394_2,5004,4.851,0.01,2.465,0.004,4/18/2024 7:03,503394_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.553,0,0,
503402_1,5055,8.257,0.008,4.084,0.003,4/18/2024 7:10,503402_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.13,0,0,
503405_1,5152,7.198,0.008,3.715,0.002,4/18/2024 16:54,503405_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,145.021,0,0,
503410_1,114,8.399,0.008,4.206,0.004,4/18/2024 17:00,503410_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.84,0,0,
503410_2,131,8.416,0.008,4.097,0.003,4/18/2024 17:06,503410_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,136.956,0,0,
503007_1,5025,8.611,0.007,4.477,0.003,4/18/2024 17:28,503007_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,146.16,0,0,
503413_1,5027,7.39,0.008,3.724,0.003,4/18/2024 17:36,503413_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.663,0,0,
503413_2,5156,7.058,0.008,3.392,0.002,4/18/2024 17:43,503413_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,135.136,0,0,
503420_1,5018,8.713,0.009,4.302,0.011,4/18/2024 17:49,503420_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.916,0,0,
503423_1,5032,6.995,0.008,3.508,0.003,4/19/2024 0:45,503423_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,140.911,0,0,
503430_1,5055,8.799,0.007,4.351,0.002,4/19/2024 0:52,503430_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.13,0,0,
503430_2,5004,8.796,0.007,4.458,0.003,4/19/2024 0:59,503430_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,142.553,0,0,
503433_1,5027,7.219,0.008,3.639,0.004,4/19/2024 1:05,503433_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,141.663,0,0,
503433_2,5156,6.887,0.008,3.31,0.002,4/19/2024 1:11,503433_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,135.136,0,0,
503440_1,5018,8.305,0.008,4.102,0.005,4/19/2024 1:16,503440_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.916,0,0,
503443_1,5188,4.264,0.01,2.108,0.003,4/19/2024 1:23,503443_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,138.618,0,0,
503452_1,5072,9.056,0.008,4.267,0.003,4/19/2024 1:29,503452_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.668,0,0,
503452_2,5090,9.038,0.009,4.472,0.012,4/19/2024 1:35,503452_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.196,0,0,
503455_1,5066,6.03,0.008,2.85,0.003,4/19/2024 5:09,503455_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,132.839,0,0,
503455_2,5134,6.027,0.008,3.002,0.002,4/19/2024 5:15,503455_2.tod,2.017 2.018 2.018,0.005 0.002 0.009,139.879,0,0,
503459_1,5115,3.676,0.01,1.886,0.002,4/19/2024 5:20,503459_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,143.66,0,0,
503468_1,5152,8.073,0.017,4.165,0.042,4/19/2024 5:26,503468_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,145.021,0,0,
503471_1,5045,6.164,0.008,2.951,0.002,4/19/2024 12:16,503471_1.tod,2.017 2.018 2.018,0.005 0.002 0.009,134.563,0,0,
