ShipsName=Teleost,,,,,,,,,,
CruiseNumber=TEL2024880,,,,,,,,,,
Analyst=Diana Cardoso,,,,,,,,,,
SalinometerSerialNumber=71418,,,,,,,,,,
Sample ID,Bottle Label,DateTime,Bath Temperature,Uncorrected Ratio,Uncorrected Ratio StandDev,Correction,Adjusted Ratio,Calculated Salinity,Calculated Salinity StandDev,Comments
01#1,503036,4/13/2024 15:06,24C,0.904048741,6.33E-07,1.31E-05,0.904061854,31.25650978,2.38E-05,NA
01#2,503042,4/13/2024 15:11,24C,0.896984756,3.63E-06,1.30E-05,0.89699775,30.98346519,0.000140596,NA
01#3,503046,4/13/2024 15:19,24C,0.956342995,1.38E-06,1.30E-05,0.956355989,33.2889061,5.40E-05,NA
01#4,503054,4/13/2024 15:24,24C,0.897105694,1.66E-06,1.31E-05,0.897118747,30.98813438,6.38E-05,NA
01#5,503002,4/13/2024 15:29,24C,0.907268107,6.12E-07,1.31E-05,0.90728122,31.38107109,2.52E-05,NA
01#6,503057,4/13/2024 15:35,24C,0.995702922,1.68E-06,1.29E-05,0.995715857,34.83143997,6.61E-05,NA
01#7,503066,4/13/2024 15:41,24C,0.917048454,1.50E-06,1.31E-05,0.917061508,31.75991821,5.72E-05,NA
01#8,503069,4/13/2024 15:46,24C,0.996651828,6.75E-07,1.31E-05,0.996664941,34.86876297,2.66E-05,NA
01#9,503077,4/13/2024 15:52,24C,0.92972523,8.64E-07,1.31E-05,0.929738283,32.25198746,3.56E-05,NA
01#10,503080,4/13/2024 15:58,24C,0.954931796,1.17E-06,1.30E-05,0.954944789,33.23380661,4.72E-05,NA
01#11,503086,4/13/2024 16:03,24C,0.92992419,1.56E-06,1.30E-05,0.929937184,32.2597084,5.89E-05,NA
01#12,503089,4/13/2024 16:10,24C,0.966636717,8.85E-07,1.30E-05,0.966649711,33.69125748,3.42E-05,NA
01#13,503096,4/13/2024 16:17,24C,0.937432468,8.92E-07,1.30E-05,0.937445462,32.55171204,3.53E-05,NA
01#14,503099,4/13/2024 17:07,24C,0.996376514,2.44E-06,1.31E-05,0.996389568,34.85794067,9.66E-05,NA
01#15,503100,4/13/2024 17:14,24C,0.99426204,1.41E-06,1.31E-05,0.994275153,34.77478409,5.19E-05,NA
01#16,503108,4/13/2024 17:24,24C,0.930310786,1.38E-06,1.31E-05,0.930323899,32.27474213,5.28E-05,NA
01#17,503111,4/13/2024 17:31,24C,0.998472393,9.06E-07,1.30E-05,0.998485386,34.94039536,3.69E-05,NA
01#18,503112,4/13/2024 17:40,24C,0.998764753,2.73E-06,1.31E-05,0.998777807,34.95190048,0.000107189,NA
01#19,503113,4/13/2024 17:47,24C,0.998571217,1.45E-06,1.30E-05,0.998584211,34.94427872,5.76E-05,NA
01#20,503114,4/13/2024 17:56,24C,0.99834466,2.35E-06,1.29E-05,0.998357594,34.93536758,9.16E-05,NA
01#21,503115,4/13/2024 18:03,24C,0.999395907,1.47E-06,1.31E-05,0.99940896,34.97673416,5.94E-05,NA
01#22,503116,4/13/2024 18:12,24C,0.991377354,2.87E-05,1.31E-05,0.991390407,34.6613884,0.001125744,NA
01#23,503116,4/13/2024 18:16,24C,0.99170357,2.14E-06,1.31E-05,0.991716623,34.67420578,8.26E-05,NA
01#24,503121,4/13/2024 18:24,24C,0.933061361,6.59E-07,1.29E-05,0.933074296,32.38166809,2.57E-05,NA
01#25,503125,4/13/2024 18:30,24C,0.930478156,1.78E-06,1.30E-05,0.930491149,32.28125,6.69E-05,NA
02#1,503128,4/16/2024 15:19,24C,0.9984501,6.37E-08,8.82E-06,0.998458922,34.93935776,0,NA
02#2,503129,4/16/2024 15:25,24C,0.998304844,9.35E-07,9.00E-06,0.998313844,34.93364334,3.33E-05,NA
02#3,503130,4/16/2024 15:32,24C,0.998609006,2.07E-06,9.06E-06,0.998618066,34.94561386,8.09E-05,NA
02#4,503131,4/16/2024 15:38,24C,0.998759985,1.69E-06,9.00E-06,0.998768985,34.95154953,6.55E-05,NA
02#5,503132,4/16/2024 15:43,24C,0.997844517,1.39E-06,9.06E-06,0.997853577,34.91553116,5.37E-05,NA
02#6,503133,4/16/2024 15:56,24C,0.985099554,2.23E-06,8.88E-06,0.985108435,34.41465378,8.65E-05,NA
02#7,503138,4/16/2024 16:03,24C,0.942793846,1.38E-06,9.00E-06,0.942802846,32.7603035,5.45E-05,NA
02#8,503142,4/16/2024 16:09,24C,0.934592307,1.48E-06,9.06E-06,0.934601367,32.4410553,5.87E-05,NA
02#9,503145,4/16/2024 16:15,24C,0.998565495,2.35E-06,8.94E-06,0.998574436,34.94389725,9.36E-05,NA
02#10,503146,4/16/2024 16:21,24C,0.998468816,7.94E-07,9.06E-06,0.998477876,34.94009399,3.12E-05,NA
02#11,503147,4/16/2024 16:26,24C,0.99873358,1.48E-06,9.06E-06,0.99874264,34.95051193,5.62E-05,NA
02#12,503148,4/16/2024 16:36,24C,0.955767214,0.005438488,9.00E-06,0.955776215,34.99907,0.208946183,ignore  last reading in this run for average bottle ran out of water.  lots of bubbles in tube
02#13,503149,4/16/2024 18:03,24C,0.995871127,2.22E-05,9.00E-06,0.995880127,34.83790207,0.000874551,NA
02#14,503150,4/16/2024 18:11,24C,0.983261168,9.14E-07,8.94E-06,0.983270109,34.34249878,3.67E-05,NA
02#15,503155,4/16/2024 18:21,24C,0.933868229,9.36E-06,8.94E-06,0.93387717,32.412598,0.000363833,remove first reading draining tube was submerged and caused a bubble to appear during the reading
02#16,503159,4/16/2024 18:33,24C,0.932097256,1.95E-06,9.00E-06,0.932106256,32.34402847,7.44E-05,NA
02#17,503163,4/16/2024 18:37,24C,0.998590767,1.66E-06,9.06E-06,0.998599827,34.9448967,6.35E-05,NA
02#18,503165,4/16/2024 18:42,24C,0.996927738,1.54E-06,9.00E-06,0.996936738,34.8794632,6.09E-05,NA
02#19,503178,4/16/2024 18:48,24C,0.916115761,1.20E-06,8.88E-06,0.916124642,31.7236042,4.66E-05,NA
02#20,503186,4/16/2024 18:58,24C,0.932112634,1.36E-06,9.06E-06,0.932121694,32.34462357,5.19E-05,NA
02#21,503166,4/16/2024 19:04,24C,0.986038029,2.26E-06,9.00E-06,0.986047029,34.45149612,9.05E-05,NA
02#22,503175,4/16/2024 19:09,24C,0.932371318,6.37E-08,9.06E-06,0.932380378,32.35468674,0,NA
02#23,503183,4/16/2024 19:20,24C,0.910039902,1.41E-06,8.88E-06,0.910048783,31.48820496,5.41E-05,NA
02#24,503003,4/16/2024 19:25,24C,0.910718441,1.67E-05,9.06E-06,0.910727501,31.51448822,0.000646771,reran this bottle readings were not consistent
02#25,503003,4/16/2024 19:28,24C,0.911647797,1.47E-06,9.00E-06,0.911656797,31.55047607,5.59E-05,NA
02#26,503006,4/16/2024 19:33,24C,0.917910278,2.93E-06,9.06E-06,0.917919338,31.79317665,0.000115795,NA
02#27,503005,4/16/2024 19:41,24C,0.915038764,2.14E-06,9.06E-06,0.915047824,31.68185997,8.41E-05,NA
02#28,503004,4/16/2024 19:46,24C,0.920483172,2.17E-06,9.00E-06,0.920492172,31.89297485,8.36E-05,NA
03#1,503194,4/18/2024 13:08,24C,0.920713067,2.02E-06,-1.20E-05,0.920701087,31.90107727,7.88E-05,NA
03#2,503197,4/18/2024 13:18,24C,0.968285561,1.95E-06,-1.20E-05,0.96827358,33.7548027,7.75E-05,NA
03#3,503206,4/18/2024 13:25,24C,0.920354903,7.94E-07,-1.20E-05,0.920342922,31.88718414,3.01E-05,NA
03#4,503209,4/18/2024 13:31,24C,0.97749728,1.69E-06,-1.21E-05,0.97748518,34.11560822,6.60E-05,NA
03#5,503218,4/18/2024 13:36,24C,0.918785632,2.03E-06,-1.22E-05,0.918773472,31.8263073,7.90E-05,NA
03#6,503221,4/18/2024 13:54,24C,0.972574711,2.41E-06,-1.21E-05,0.972562611,33.92272568,9.67E-05,NA
03#7,503230,4/18/2024 14:00,24C,0.920282781,1.95E-06,-1.19E-05,0.92027086,31.88438416,7.81E-05,NA
03#8,503233,4/18/2024 14:55,24C,0.936344862,1.47E-06,-1.21E-05,0.936332762,32.50841141,5.63E-05,NA
03#9,503241,4/18/2024 15:00,24C,0.919310212,1.94E-06,-1.20E-05,0.919298172,31.8466568,7.68E-05,NA
03#10,503244,4/18/2024 15:10,24C,0.959687054,1.18E-06,-1.20E-05,0.959675014,33.41856003,4.50E-05,NA
