"","time","Temperature_intake_ITS_90","Temperature_TSG_ITS_90","Conductivity_S_m","FluorescenceUV","pH","Fluorescence","O2Concentration_ml_L","salinity_PSU"
"1",2024-04-15 00:00:03,0,5.66232,3.124669,2.2466,8.055,0.9646,6.72338981262681,31.8126
"2",2024-04-15 00:00:08,0,5.65989,3.124768,2.2711,8.055,0.9524,6.72391869475732,31.816
"3",2024-04-15 00:00:13,0,5.65825,3.124868,2.2589,8.055,1.0012,6.72425764853605,31.8187
"4",2024-04-15 00:00:18,0,5.6566,3.124868,2.2711,8.055,0.989,6.72465275668547,31.8202
"5",2024-04-15 00:00:23,0,5.65411,3.124868,2.2711,8.055,0.989,6.72524300174261,31.8226
"6",2024-04-15 00:00:28,0,5.65496,3.124967,2.2589,8.055,0.9768,6.72499175422682,31.8229
"7",2024-04-15 00:00:33,0,5.6566,3.124967,2.2711,8.055,1.0012,6.72460386573182,31.8213
"8",2024-04-15 00:00:38,0,5.65904,3.124967,2.2589,8.055,1.0012,6.72402323574184,31.819
"9",2024-04-15 00:00:43,0,5.66068,3.124967,2.2711,8.055,0.989,6.73162367295956,31.8175
"10",2024-04-15 00:00:48,0,5.66232,3.124868,2.2589,8.055,0.989,6.72329205402413,31.8148
"11",2024-04-15 00:00:53,0,5.66232,3.124868,2.2711,8.055,0.989,6.71531096011753,31.8148
"12",2024-04-15 00:00:58,0,5.66475,3.124867,2.2711,8.055,0.9768,6.73070600309315,31.8125
"13",2024-04-15 00:01:03,0,5.66724,3.124867,2.2589,8.055,0.9768,6.72211993405305,31.8102
"14",2024-04-15 00:01:08,0,5.66888,3.124867,2.2833,8.055,1.0134,6.72972275535423,31.8086
"15",2024-04-15 00:01:13,0,5.66888,3.124867,2.2589,8.055,0.9768,6.72173224312585,31.8086
"16",2024-04-15 00:01:18,0,5.66803,3.124967,2.2711,8.055,0.9768,6.72188561076483,31.8105
"17",2024-04-15 00:01:23,0,5.66888,3.124967,2.2711,8.055,0.9768,6.72168337830948,31.8097
"18",2024-04-15 00:01:28,0,5.66803,3.124967,2.2589,8.055,1.0256,6.72188561076483,31.8105
"19",2024-04-15 00:01:33,0,5.66724,3.124967,2.2589,8.055,1.0134,6.72207106576314,31.8113
"20",2024-04-15 00:01:38,0,5.66803,3.125069,2.2589,8.055,0.9646,6.72982292640309,31.8117
"21",2024-04-15 00:01:43,0,5.66639,3.125069,2.2711,8.055,0.9768,6.72222444239164,31.8132
"22",2024-04-15 00:01:48,0,5.66639,3.125168,2.2589,8.055,0.989,6.72217557299241,31.8143
"23",2024-04-15 00:01:53,0,5.66724,3.125168,2.2589,8.055,1.0379,6.72996411576466,31.8135
"24",2024-04-15 00:01:58,0,5.6656,3.125168,2.2466,8.055,0.9768,6.7223610374244,31.8151
"25",2024-04-15 00:02:03,0,5.66803,3.125267,2.2711,8.055,0.989,6.72173457068034,31.8139
"26",2024-04-15 00:02:08,0,5.66888,3.125168,2.2833,8.055,0.989,6.72158120755223,31.812
"27",2024-04-15 00:02:13,0,5.66888,3.125168,2.2589,8.055,1.0134,6.72957154023589,31.812
"28",2024-04-15 00:02:18,0,5.67131,3.125168,2.2711,8.055,0.9646,6.7210036863407,31.8097
"29",2024-04-15 00:02:23,0,5.67131,3.125168,2.2589,8.055,1.0256,6.72899335218342,31.8097
"30",2024-04-15 00:02:28,0,5.67296,3.125168,2.2589,8.055,0.9524,6.72860249097476,31.8081
"31",2024-04-15 00:02:33,0,5.67381,3.125168,2.2589,8.055,0.9768,6.72840007086687,31.8073
"32",2024-04-15 00:02:38,0,5.67545,3.125168,2.2711,8.055,1.0012,6.72800760427959,31.8058
"33",2024-04-15 00:02:43,0,5.67624,3.125267,2.2466,8.055,1.0134,6.73576803047973,31.8062
