"X","time","Flow_intake","Flow_PCO","Flow_TSG","CO2_ppm","Conductivity_S_m","Fluorescence","FluorescenceUV","O2Concentration_ml_L","pH","salinity_PSU","Temperature_TSG_ITS_90","latitude","longitude"
1,"2024-04-29 00:00:00",999,2.28,18.1,309.15,2.753815,1.1233,2.7839,7.55041388449927,8.201,30.0052,2.99639,45.823525,59.8543683333333
2,"2024-04-29 01:00:00",999,2.22,17.9,315.49,2.761669,1.2576,2.7839,7.49008896532375,8.191,30.0007,3.10228,45.900945,59.733485
3,"2024-04-29 02:00:00",999,2.21,18.1,304.57,2.739003,1.9414,2.8327,7.61650470774427,8.207,30.0203,2.78929,46.0281816666667,59.5628466666667
4,"2024-04-29 03:00:00",999,2.22,18,312.01,2.753514,1.2943,2.9182,7.48732684369694,8.2,29.7865,3.22841,46.197095,59.5085016666667
5,"2024-04-29 04:00:00",999,2.21,18.1,304.96,2.778768,1.7338,2.6374,7.52613369238418,8.21,30.243,3.06219,46.3725316666667,59.4883183333333
6,"2024-04-29 05:00:00",999,2.18,18,325.67,2.771714,0.5372,2.4786,7.38406450844792,8.178,30.6012,2.59433,46.5462383333333,59.4662233333333
7,"2024-04-29 06:00:00",999,2.26,18,326.88,2.780464,0.989,2.442,7.4065508990141,8.174,30.808,2.4902,46.71269,59.4400016666667
8,"2024-04-29 07:00:00",999,2.17,18,326.94,2.780861,0.8181,2.4664,7.41171366534514,8.178,30.7382,2.56764,46.8856495833333,59.4183179166667
9,"2024-04-29 08:00:00",999,2.16,17.9,326.92,2.782552,0.4274,2.3565,7.32347386626965,8.183,30.7878,2.53756,47.0586979166667,59.3987354166667
10,"2024-04-29 09:00:00",999,2.18,18.1,338.88,2.872832,0.4518,1.9902,7.23112774735884,8.172,31.4561,2.97762,47.2297416666667,59.383605
11,"2024-04-29 10:00:00",999,2.2,18,344.37,2.864879,0.3297,1.978,7.19888843548466,8.162,31.4127,2.92373,47.403985,59.3676125
12,"2024-04-29 11:00:00",999,2.17,18.1,348.49,2.844295,0.3297,2.1001,7.23543397492807,8.154,31.3508,2.73181,47.57947,59.34069
13,"2024-04-29 12:00:00",999,2.22,18.1,347.87,2.844197,0.4151,2.0879,7.23035708294929,8.158,31.3303,2.75155,47.5757033333334,59.3408008333333
