"","time","Temperature_intake_ITS_90","Temperature_TSG_ITS_90","Conductivity_S_m","FluorescenceUV","pH","Fluorescence","O2Concentration_ml_L","salinity_PSU"
"1",2024-10-08 00:00:02.274,15.0246,15.04688,3.983536,1.8315,8.147,2.9548,NA,32.1664
"2",2024-10-08 00:00:07.273,15.00337,15.05752,3.983932,1.8315,8.147,2.8938,NA,32.1612
"3",2024-10-08 00:00:12.256,15.01157,15.0639,3.984332,1.8315,8.147,2.8938,NA,32.1596
"4",2024-10-08 00:00:17.287,15.06635,15.07528,3.984728,1.8437,8.147,2.8694,NA,32.1538
"5",2024-10-08 00:00:22.27,15.0644,15.08518,3.984828,1.8437,8.147,2.8571,NA,32.1466
"6",2024-10-08 00:00:27.284,15.11787,15.09371,3.984928,1.8437,8.147,2.8327,NA,32.1404
"7",2024-10-08 00:00:32.267,15.12541,15.10082,3.985228,1.8437,8.147,2.9182,NA,32.1373
"8",2024-10-08 00:00:37.266,15.13018,15.10435,3.985628,1.8437,8.147,2.8816,NA,32.138
"9",2024-10-08 00:00:42.265,15.14521,15.11993,3.986125,1.8559,8.147,2.9304,NA,32.1297
"10",2024-10-08 00:00:47.279,15.1084,15.12562,3.986525,1.8559,8.147,2.8816,NA,32.1286
"11",2024-10-08 00:00:52.263,15.16502,15.13841,3.986921,1.8437,8.142,2.8449,NA,32.1217
"12",2024-10-08 00:00:57.261,15.16832,15.14688,3.987321,1.8315,8.147,2.8205,NA,32.1183
"13",2024-10-08 00:01:02.276,15.15663,15.16535,3.987721,1.8437,8.147,2.8083,NA,32.1067
"14",2024-10-08 00:01:07.259,15.16936,15.17524,3.988018,1.8559,8.147,2.8816,NA,32.1013
"15",2024-10-08 00:01:12.258,15.13364,15.1795,3.988418,1.8559,8.147,2.8816,NA,32.1014
"16",2024-10-08 00:01:17.288,15.16828,15.19155,3.989315,1.8437,8.147,2.7961,NA,32.0996
"17",2024-10-08 00:01:22.256,15.1644,15.19439,3.989812,1.8559,8.147,2.7839,NA,32.1017
"18",2024-10-08 00:01:27.27,15.13853,15.20075,3.990012,1.8437,8.147,2.8449,NA,32.0983
"19",2024-10-08 00:01:32.253,15.12748,15.20432,3.990613,1.8559,8.147,2.8083,NA,32.1007
"20",2024-10-08 00:01:37.268,15.10454,15.21137,3.99151,1.8559,8.142,2.7595,NA,32.103
"21",2024-10-08 00:01:42.251,15.16477,15.21636,3.992207,1.8559,8.142,2.8083,NA,32.1052
"22",2024-10-08 00:01:47.265,15.15392,15.2192,3.992804,1.8559,8.147,2.7595,NA,32.1082
"23",2024-10-08 00:01:52.264,15.11359,15.22204,3.992904,1.8315,8.147,2.8327,NA,32.1068
"24",2024-10-08 00:01:57.263,15.10117,15.22483,3.993205,1.8437,8.142,2.7473,NA,32.1072
"25",2024-10-08 00:02:02.278,15.08304,15.22698,3.993802,1.8437,8.146,2.7839,NA,32.1108
"26",2024-10-08 00:02:07.276,15.07005,15.22908,3.994002,1.8315,8.142,2.7717,NA,32.1108
"27",2024-10-08 00:02:12.26,15.07686,15.2305,3.994499,1.8437,8.142,2.967,NA,32.1141
"28",2024-10-08 00:02:17.274,15.05088,15.23408,3.9949,1.8437,8.146,2.8694,NA,32.1148
"29",2024-10-08 00:02:22.273,15.06885,15.23692,3.995397,1.8315,8.142,2.8083,NA,32.1169
"30",2024-10-08 00:02:27.272,15.03889,15.24469,3.995894,1.8437,8.142,2.7717,NA,32.115
"31",2024-10-08 00:02:32.27,15.04976,15.25457,3.996094,1.8559,8.146,2.7717,NA,32.1087
"32",2024-10-08 00:02:37.285,15.07811,15.2666,3.996394,1.8681,8.146,2.7717,NA,32.1016
"33",2024-10-08 00:02:42.268,15.07624,15.26802,3.996495,1.8437,8.146,2.7106,NA,32.1013
"34",2024-10-08 00:02:47.267,15.07239,15.28504,3.996691,1.8437,8.146,2.7595,NA,32.0891
"35",2024-10-08 00:02:52.266,15.06018,15.29349,3.996891,1.8437,8.146,2.7473,NA,32.084
"36",2024-10-08 00:02:57.265,15.04978,15.30977,3.997192,1.8559,8.141,2.7961,NA,32.0734
"37",2024-10-08 00:03:02.279,15.04814,15.31334,3.997388,1.8559,8.141,2.735,NA,32.0722
"38",2024-10-08 00:03:07.262,15.00834,15.32321,3.997789,1.8315,8.146,2.6862,NA,32.0678
"39",2024-10-08 00:03:12.261,15.01735,15.33239,3.998089,1.8315,8.146,2.6984,NA,32.0629
"40",2024-10-08 00:03:17.276,15.04502,15.34089,3.998486,1.8559,8.141,2.6862,NA,32.0596
"41",2024-10-08 00:03:22.274,15.06409,15.34304,3.999184,1.8681,8.146,2.6862,NA,32.064
"42",2024-10-08 00:03:27.258,15.05174,15.34939,3.999782,1.8559,8.141,2.7106,NA,32.0642
"43",2024-10-08 00:03:32.288,15.03769,15.35364,4.000283,1.8437,8.141,2.6862,NA,32.0652
"44",2024-10-08 00:03:37.255,15.01932,15.35648,4.000981,1.8559,8.146,2.6618,NA,32.0691
"45",2024-10-08 00:03:42.27,15.0398,15.35857,4.000981,1.8559,8.146,2.6496,NA,32.0674
"46",2024-10-08 00:03:47.253,15.01177,15.35857,4.001478,1.8559,8.141,2.7106,NA,32.0719
"47",2024-10-08 00:03:52.267,15.04322,15.35857,4.002076,1.8437,8.146,2.6618,NA,32.0772
"48",2024-10-08 00:03:57.266,15.03278,15.35857,4.002377,1.8926,8.146,2.7473,NA,32.0799
"49",2024-10-08 00:04:02.281,15.03224,15.35789,4.002874,1.8681,8.146,2.7595,NA,32.0849
"50",2024-10-08 00:04:07.264,15.01921,15.35648,4.003171,1.8559,8.146,2.7595,NA,32.0887
"51",2024-10-08 00:04:12.263,15.00233,15.35574,4.003272,1.8437,8.146,2.7228,NA,32.0902
"52",2024-10-08 00:04:17.277,15.00508,15.35291,4.003171,1.8437,8.141,2.7228,NA,32.0916
"53",2024-10-08 00:04:22.276,14.99427,15.34939,4.003472,1.8437,8.141,2.8083,NA,32.0972
"54",2024-10-08 00:04:27.275,15.00007,15.34724,4.00387,1.8559,8.146,2.7595,NA,32.1025
"55",2024-10-08 00:04:32.258,15.01256,15.34304,4.00417,1.8559,8.141,2.735,NA,32.1086
"56",2024-10-08 00:04:37.257,15.01735,15.34163,4.004468,1.8559,8.141,2.7473,NA,32.1124
"57",2024-10-08 00:04:42.271,14.98607,15.33806,4.004668,1.8559,8.146,2.7106,NA,32.1171
"58",2024-10-08 00:04:47.254,15.002,15.33523,4.004769,1.8559,8.141,2.8449,NA,32.1203
"59",2024-10-08 00:04:52.284,15.0106,15.33103,4.004769,1.8559,8.141,2.7106,NA,32.1238
"60",2024-10-08 00:04:57.252,14.95936,15.32678,4.004869,1.8559,8.146,2.7839,NA,32.1282
"61",2024-10-08 00:05:02.266,14.991,15.32179,4.004869,1.8437,8.141,2.7839,NA,32.1322
"62",2024-10-08 00:05:07.265,14.99309,15.31896,4.004869,1.8437,8.141,2.7961,NA,32.1346
"63",2024-10-08 00:05:12.264,15.00071,15.31544,4.004769,1.8559,8.146,2.7839,NA,32.1365
"64",2024-10-08 00:05:17.247,15.01789,15.3126,4.004769,1.8559,8.146,2.7961,NA,32.1389
"65",2024-10-08 00:05:22.262,14.99316,15.30693,4.004669,1.8437,8.146,2.7961,NA,32.1426
"66",2024-10-08 00:05:27.292,14.97948,15.30058,4.004669,1.8559,8.146,2.8083,NA,32.1478
"67",2024-10-08 00:05:32.259,14.98188,15.29633,4.004568,1.8559,8.146,2.8449,NA,32.1504
"68",2024-10-08 00:05:37.274,14.97474,15.29139,4.004468,1.8437,8.142,2.8449,NA,32.1535
"69",2024-10-08 00:05:42.257,14.95186,15.28714,4.004271,1.8559,8.142,2.8083,NA,32.1553
"70",2024-10-08 00:05:47.287,14.9622,15.28288,4.004271,1.8559,8.146,2.8694,NA,32.1588
"71",2024-10-08 00:05:52.27,14.95499,15.27937,4.004171,1.8559,8.146,2.8816,NA,32.1607
"72",2024-10-08 00:05:57.285,14.96095,15.27653,4.004071,1.8559,8.142,2.906,NA,32.1622
"73",2024-10-08 00:06:02.284,14.95625,15.27301,4.003971,1.8559,8.146,2.8327,NA,32.1642
"74",2024-10-08 00:06:07.283,14.95988,15.26876,4.00377,1.8559,8.142,2.8571,NA,32.1659
"75",2024-10-08 00:06:12.281,14.96367,15.26382,4.003574,1.8559,8.142,2.8816,NA,32.1681
"76",2024-10-08 00:06:17.265,14.95758,15.2624,4.003373,1.8437,8.146,2.8816,NA,32.1675
"77",2024-10-08 00:06:22.263,14.97886,15.25956,4.003173,1.8437,8.146,2.9426,NA,32.168
"78",2024-10-08 00:06:27.262,14.99195,15.25389,4.003076,1.8559,8.142,2.9182,NA,32.1718
"79",2024-10-08 00:06:32.277,15.00453,15.25247,4.002876,1.8559,8.146,2.9548,NA,32.1712
"80",2024-10-08 00:06:37.26,15.00929,15.25173,4.002775,1.8437,8.146,2.8816,NA,32.1709
"81",2024-10-08 00:06:42.274,15.00593,15.24821,4.002675,1.8559,8.142,2.8938,NA,32.1729
"82",2024-10-08 00:06:47.273,15.03584,15.24679,4.002575,1.8681,8.142,2.8938,NA,32.1732
"83",2024-10-08 00:06:52.272,15.10074,15.24469,4.002378,1.8559,8.146,2.906,NA,32.1731
"84",2024-10-08 00:06:57.271,15.08324,15.24327,4.002178,1.8437,8.142,2.967,NA,32.1725
"85",2024-10-08 00:07:02.27,15.10667,15.23902,4.002077,1.8559,8.142,2.967,NA,32.1751
"86",2024-10-08 00:07:07.268,15.12959,15.2355,4.001877,1.8559,8.146,2.967,NA,32.1762
"87",2024-10-08 00:07:12.252,15.15276,15.23124,4.001877,1.8559,8.142,2.9182,NA,32.1797
"88",2024-10-08 00:07:17.282,15.14585,15.2305,4.001777,1.8559,8.142,2.8694,NA,32.1794
"89",2024-10-08 00:07:22.249,15.17404,15.22698,4.001777,1.8559,8.142,3.0281,NA,32.1823
"90",2024-10-08 00:07:27.264,15.14916,15.22556,4.00168,1.8437,8.142,2.906,NA,32.1826
"91",2024-10-08 00:07:32.278,15.15742,15.2213,4.00168,1.8559,8.142,2.906,NA,32.1861
"92",2024-10-08 00:07:37.277,15.20997,15.21636,4.00158,1.8681,8.142,2.9426,NA,32.1892
"93",2024-10-08 00:07:42.276,15.17987,15.21211,4.00128,1.8437,8.142,2.9304,NA,32.19
"94",2024-10-08 00:07:47.259,15.16731,15.20785,4.001079,1.8681,8.142,3.0159,NA,32.1917
"95",2024-10-08 00:07:52.274,15.18593,15.20217,4.000983,1.8559,8.142,2.9792,NA,32.1955
"96",2024-10-08 00:07:57.257,15.19437,15.19933,4.000882,1.8681,8.147,3.0281,NA,32.197
"97",2024-10-08 00:08:02.256,15.19487,15.19512,4.000782,1.8559,8.142,2.9792,NA,32.1995
"98",2024-10-08 00:08:07.27,15.19917,15.19228,4.000582,1.8437,8.142,2.906,NA,32.2
"99",2024-10-08 00:08:12.269,15.19896,15.18802,4.000582,1.8437,8.142,3.0891,NA,32.2035
"100",2024-10-08 00:08:17.268,15.19896,15.18234,4.000382,1.8681,8.142,3.0403,NA,32.2064
"101",2024-10-08 00:08:22.266,15.18457,15.18308,4.000185,1.8559,8.142,3.0769,NA,32.204
"102",2024-10-08 00:08:27.265,15.1778,15.18234,4.000185,1.8559,8.142,3.0891,NA,32.2047
"103",2024-10-08 00:08:32.264,15.15583,15.18234,3.999984,1.8681,8.142,3.0403,NA,32.2029
"104",2024-10-08 00:08:37.263,15.14732,15.18376,3.999784,1.8559,8.142,3.0403,NA,32.1999
